"Articulo","Equivale","Unidad","Origen","Apariciones"
"SALMON X 250 GR","250","GR","deducido del nombre","30"
"SALSA MAY PLOY X 730 ML","730","ML","deducido del nombre","22"
"PECHUGA DE POLLO X 250 GR","250","GR","deducido del nombre","17"
"CHICHARRON X 500 GR","500","GR","deducido del nombre","17"
"ACEITUNAS DESHUESADA VERDE X 1000 GR X 500 GR DRENADO","1000","GR","deducido del nombre","15"
"MAIZ TIERNO X 432 GR X ? GR DRENADO","432","GR","deducido del nombre","14"
"CAMARON 51-60 X 200 GR","200","GR","deducido del nombre","14"
"ROBALO X 250 GR","250","GR","deducido del nombre","13"
"BOLLO DE HARINA Y QUESO X 150 GR","150","GR","deducido del nombre","13"
"TRIPLE SEC X 700 ML (640)","700","ML","deducido del nombre","12"
"SALSA DE SOYA KIKKOMAN LIGHT X 158 ML","158","ML","deducido del nombre","11"
"PORCION DE ARROZ DE COCO X 200 GR","200","GR","deducido del nombre","11"
"PICADA DE LOMO FINO X 300 GR","300","GR","deducido del nombre","10"
"PICADA DE POLLO X 300 GR","300","GR","deducido del nombre","9"
"ALCAPARRAS X 1000 GR X ? GR DRENAD","1000","GR","deducido del nombre","9"
"TOMATE SECOS ENCURTIDOS X 740 GR X 430 GR DRENADO","740","GR","deducido del nombre","9"
"LECHE DE COCO X 400 ML","400","ML","deducido del nombre","9"
"CHORIZO SICILIANO X 100 GR","100","GR","deducido del nombre","8"
"BRANDY DOMECQ 750 ML (359)","750","ML","deducido del nombre","8"
"SODA  X 300 ML","300","ML","deducido del nombre","8"
"CAZUELA DE MARISCOS X 370 GR","370","GR","deducido del nombre","8"
"TEQUILA OLMECA REPOSADO 1000 ML (667)","1000","ML","deducido del nombre","8"
"WHISKY THE GLENLIVET FOUNDER X 700 ML (573)","700","ML","deducido del nombre","8"
"AGUA TONICA X 300 ML","300","ML","deducido del nombre","7"
"SALSA AMAZON ROJA X 155 ML","155","ML","deducido del nombre","7"
"ALCACHOFA  X 2500 GR X 1200 GR DRENADO","2500","GR","deducido del nombre","7"
"CARNE DE HAMBURGUESA ANGUS X 160 GR","160","GR","deducido del nombre","7"
"ACEITUNAS KALAMATA CON HUESO X4000 GR (2.2 ESCURRIDO)","4000","GR","deducido del nombre","6"
"LANGOSTINO U15 X 240 GR","240","GR","deducido del nombre","6"
"LOMO FINO X 250 GR","250","GR","deducido del nombre","5"
"VINO ESPUMOSO CINZANO X 750ML (783)","750","ML","deducido del nombre","5"
"DURAZNOS EN MITADES X 820 GR","820","GR","deducido del nombre","5"
"GINEBRA BEEFEATER LONDON X 700 ML (460)","700","ML","deducido del nombre","5"
"TOMATE PELADOS X 2550 GR X 1650 GR DRENADO","2550","GR","deducido del nombre","4"
"RC GUANCHALE DESHIDRATADO X 30 GR","30","GR","deducido del nombre","4"
"RON HAVANA CLUB 3 AÑOS X 700 ML (477)","700","ML","deducido del nombre","4"
"WHISKY THE GLENLIVET 12 AÑOS X 700 ML (570)","700","ML","deducido del nombre","4"
"CAMPARI  X 750 ML (540)","750","ML","deducido del nombre","4"
"GINEBRA GORDONS X 700 ML (390)","700","ML","deducido del nombre","4"
"SALSA HERSHEY´S CHOCOLATE  X 680 GR","680","GR","deducido del nombre","4"
"CRUTONES X 360 GR X 24 PQ","360","GR","deducido del nombre","4"
"PAN FRANCES X 120 GR","120","GR","deducido del nombre","4"
"VINO TINTO ROSALEDA MERLOT X 750 ML (377)","750","ML","deducido del nombre","4"
"ANCHOAS  X  790 GRAMOS","790","GR","deducido del nombre","4"
"MARTINI ROSSO  ITALIA  X 750 ML (525)","750","ML","deducido del nombre","4"
"PICADA DE POLLO X 200 GR","200","GR","deducido del nombre","4"
"SALSA DE TOMATE SASHET X 8 GR","8","GR","deducido del nombre","3"
"PULPO MEXICANO X 150 GR","150","GR","deducido del nombre","3"
"TEQUILA DON JULIO BLANCO X 700 ML (589)","700","ML","deducido del nombre","3"
"GOTAS AMARGAS X 160 ML","160","ML","deducido del nombre","3"
"CAZUELA DE MARISCOS X 175 GR","175","GR","deducido del nombre","3"
"SALSA DE PIÑA SASHET X 8 GR","8","GR","deducido del nombre","3"
"CARNE MOLIDA ANGUS X 200 GR","200","GR","deducido del nombre","3"
"BARQUILLO X 300 GRM","300","GR","deducido del nombre","3"
"AGUA TONICA MIL976 X 250 ML","250","ML","deducido del nombre","3"
"PICADA DE LOMO FINO X 200 GR","200","GR","deducido del nombre","3"
"VODKA ABSOLUT X 700 ML (501)","700","ML","deducido del nombre","3"
"RON LA HECHICERA X 700 ML (518)","700","ML","deducido del nombre","3"
"ROAS BEEF X 80 GR","80","GR","deducido del nombre","3"
"APERITIVO APEROL X 750 ML (595)","750","ML","deducido del nombre","3"
"TEQUILA DON JULIO REPOSADO X 700 ML (723)","700","ML","deducido del nombre","3"
"PUNTA DE ANCA X 150 GR","150","GR","deducido del nombre","3"
"SALMON X 125 GR","125","GR","deducido del nombre","3"
"GASEOSA PET COCA COLA X 400 ML","400","ML","deducido del nombre","2"
"NO USAR VINO BLANCO CHILOE CHARDONAY X 750 ML","750","ML","deducido del nombre","2"
"PICAÑA ROLL X 350 GR","350","GR","deducido del nombre","2"
